market,symbol,name,price,pct,sector,level1_score,trend_evidence,stage_status
KR,222800,심텍,149500,0.95,Technology,0.936787,ANCHOR_RETURNS r1m=42.1103 r3m=27.0178 r6m=163.2042,LEVEL2_PASS
KR,000500,가온전선,318500,-0.93,Other,0.934960,ANCHOR_RETURNS r1m=102.2222 r3m=2.2472 r6m=178.4091,LEVEL2_PASS
KR,036540,SFA반도체,10570,-0.47,Technology,0.928749,ANCHOR_RETURNS r1m=96.1039 r3m=71.8699 r6m=54.9853,LEVEL2_PASS
KR,010170,대한광통신,17700,-0.62,Other,0.910081,ANCHOR_RETURNS r1m=34.6008 r3m=23.1733 r6m=114.5455,LEVEL2_PASS
KR,098120,마이크로컨텍솔,58000,1.93,Technology,0.907896,ANCHOR_RETURNS r1m=49.2921 r3m=136.7347 r6m=122.2222,LEVEL2_PASS
KR,001820,삼화콘덴서,146900,-0.34,Technology,0.883218,ANCHOR_RETURNS r1m=58.9827 r3m=8.0147 r6m=170.0368,LEVEL2_PASS
KR,067310,하나마이크론,46200,1.2,Technology,0.882900,ANCHOR_RETURNS r1m=33.9130 r3m=-4.2487 r6m=41.5008,LEVEL2_PASS
KR,064290,인텍플러스,54800,-1.44,Industrials,0.875678,ANCHOR_RETURNS r1m=67.5841 r3m=33.8217 r6m=226.7740,LEVEL2_PASS
KR,010950,S-Oil,155600,0.84,Energy,0.872798,ANCHOR_RETURNS r1m=10.1983 r3m=45.0140 r6m=43.5424,LEVEL2_PASS
KR,000990,DB하이텍,132000,0.99,Technology,0.866737,ANCHOR_RETURNS r1m=51.5499 r3m=-13.3858 r6m=58.2734,LEVEL2_PASS
KR,003490,대한항공,31500,0.32,Industrials,0.864560,ANCHOR_RETURNS r1m=21.1538 r3m=15.1737 r6m=26.7606,LEVEL2_PASS
KR,036930,주성엔지니어링,209500,2.95,Industrials,0.863113,ANCHOR_RETURNS r1m=26.2048 r3m=14.8575 r6m=170.6718,LEVEL2_PASS
KR,192650,드림텍,8450,-0.94,Technology,0.863047,ANCHOR_RETURNS r1m=79.0254 r3m=88.1960 r6m=18.6798,LEVEL2_PASS
KR,119850,지엔씨에너지,56100,2.19,Utilities,0.861301,ANCHOR_RETURNS r1m=14.4898 r3m=181.6265 r6m=68.4685,LEVEL2_PASS
KR,131290,티에스이,289000,2.85,Technology,0.861172,ANCHOR_RETURNS r1m=17.7189 r3m=15.8317 r6m=149.5682,LEVEL2_PASS
